name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
smederevo,2023-01-01,16.5,4.7,9.4,16.5,3.6,8.9,5.1,75.7,0,0,0,,0,0,25.6,9.8,58.1,1030,19.4,12.7,74,6.3,3,10,2023-01-01T07:13:29,2023-01-01T16:06:10,0.31,Clear,Clear conditions throughout the day.,clear-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-02,15.7,3.6,8.8,15.7,3.6,8.4,5.1,78.5,0,0,0,,0,0,21.6,9.5,72.4,1027.9,19.7,10.4,72.8,6.2,3,10,2023-01-02T07:13:31,2023-01-02T16:07:04,0.35,Clear,Clear conditions throughout the day.,clear-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-03,13.8,2.8,7.4,13.8,1,6.6,5.6,88.9,0,0,0,,0,0,23,11.4,313,1028.2,48.2,8.4,72.6,6.3,3,10,2023-01-03T07:13:31,2023-01-03T16:08:00,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-04,8.6,4.2,6.3,8.6,1.9,5.5,5.6,95.6,0.305,100,8.33,rain,0,0,20.5,10.1,198,1030.3,73.8,4.4,56.9,4.9,3,10,2023-01-04T07:13:28,2023-01-04T16:08:59,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-05,12.4,2,6.6,12.4,-1.4,5.1,4.5,87.1,0.156,100,4.17,rain,0,0,50.4,12,149.3,1021.4,49.1,12.1,68,5.9,3,10,2023-01-05T07:13:23,2023-01-05T16:09:59,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-06,11.7,4,7.4,11.7,2.8,6.4,4.2,80.8,0.157,100,8.33,rain,0,0,38.5,13.2,315.9,1024.4,39.9,16,77.5,6.7,4,10,2023-01-06T07:13:16,2023-01-06T16:11:01,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-07,13.8,3,7.2,13.8,1.8,6.3,3.3,77.5,0,0,0,,0,0,26.3,11,71.3,1023.2,25.1,13.2,79,6.9,4,10,2023-01-07T07:13:05,2023-01-07T16:12:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-08,13.3,1.6,7.2,13.3,0.2,5.8,2.4,73.6,0,0,0,,0,0,28.8,22,130.1,1019.5,22.4,11.2,80.2,6.9,4,10,2023-01-08T07:12:52,2023-01-08T16:13:09,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-09,9.8,6.1,8,7.2,2.6,4.3,2.4,68,0.227,100,4.17,rain,0,0,75.6,37.9,115.1,1009.9,75.6,14.2,44.2,4,2,10,2023-01-09T07:12:37,2023-01-09T16:14:15,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-10,8.6,3.9,5.9,5.3,0.9,2.9,3.9,87.7,2.978,100,16.67,rain,0,0,55.4,40.3,188.3,1008,94.4,10.7,3.5,0.3,0,10,2023-01-10T07:12:19,2023-01-10T16:15:23,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-11,6,4,4.9,4.4,0.2,2.7,4.2,95.4,22.942,100,12.5,rain,0,0.1,48.2,20.2,320.4,1017.9,98.4,8,6.3,0.5,0,10,2023-01-11T07:11:58,2023-01-11T16:16:33,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-12,6,3.9,4.7,4.9,2.7,4.1,3.6,92.4,1.37,100,12.5,rain,0,0,16.9,6.5,240.1,1023,86.1,7.3,6.8,0.6,0,10,2023-01-12T07:11:35,2023-01-12T16:17:44,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-13,9,2.4,5.3,7.4,1.5,3.8,3.1,86.4,0.253,100,4.17,rain,0,0,19.8,18.4,131.2,1021.8,58.8,8.3,67.3,5.7,4,10,2023-01-13T07:11:10,2023-01-13T16:18:56,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-14,5.9,2.4,4.4,5.7,0.5,3.2,3.1,91.5,0.345,100,4.17,rain,0,0,26.3,13.6,343.4,1022.4,85.4,7.7,11.4,1.1,0,10,2023-01-14T07:10:42,2023-01-14T16:20:09,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-15,9.8,3.3,5.9,7,0.6,3.1,2.5,79.9,0,0,0,,0,0,64.8,24.3,125.7,1018.3,43.4,9.3,86.4,7.4,4,10,2023-01-15T07:10:11,2023-01-15T16:21:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-16,8.4,5.1,6.8,6.1,1.3,3.3,1.8,70.5,0.603,100,4.17,rain,0,0,72,36,119,1005.3,78.2,13.1,41,3.7,2,10,2023-01-16T07:09:39,2023-01-16T16:22:39,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-17,13.1,6.7,9.7,13.1,2.7,8.1,5.4,75.3,1.824,100,16.67,rain,0,0,64.8,42.6,131.8,996.4,72.9,14.4,62.3,5.2,4,10,2023-01-17T07:09:03,2023-01-17T16:23:55,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-18,15.7,11.2,12.8,15.7,11.2,12.8,6.5,66.1,0.997,100,12.5,rain,0,0,64.8,29.5,152.3,996.9,75,16.7,75.6,6.6,4,10,2023-01-18T07:08:26,2023-01-18T16:25:13,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-19,13.3,4.4,9.8,13.3,1.8,9.1,6.1,78.4,2.441,100,12.5,rain,0,0,54,28.2,174.3,1003.5,77.1,15.1,38.8,3.3,2,10,2023-01-19T07:07:46,2023-01-19T16:26:31,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-20,4.3,0.3,1.5,2.1,-3.6,-1.5,1.1,97.4,14.344,100,12.5,"rain,snow",4.1,1.4,38.9,13.2,273.8,1008.3,96.9,5.1,9.5,0.7,1,10,2023-01-20T07:07:04,2023-01-20T16:27:50,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-21,4.1,0.4,2.2,3.4,-2.5,0.4,1.3,93.5,2.356,100,12.5,"rain,snow",0,1.4,26.3,13.6,41,1012.2,95.8,7.5,47.8,4.2,3,10,2023-01-21T07:06:19,2023-01-21T16:29:10,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999,remote"
smederevo,2023-01-22,7.2,1.8,3.8,5.6,-0.4,2.2,2.9,94.1,0.697,100,8.33,"rain,snow",0,0.1,20.9,8.6,314.2,1019.9,92.1,2.7,91.5,8,4,10,2023-01-22T07:05:33,2023-01-22T16:30:31,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-23,9.5,5,7.1,5.5,1.3,3.7,3.3,77.4,0.566,100,4.17,rain,0,0,55.1,36.3,105.3,1024.1,81.1,13.2,44.3,3.9,3,10,2023-01-23T07:04:44,2023-01-23T16:31:52,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-24,4.6,1.5,3.2,0.9,-3.1,-0.7,-0.8,75.3,0.275,100,4.17,rain,0,0,51.8,23.8,114.4,1031.5,88.6,14.2,36.5,3.2,1,10,2023-01-24T07:03:53,2023-01-24T16:33:14,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-25,3,1.4,2,0.5,-2.7,-1,-2.4,72.4,0,0,0,,0,0,28.1,17.5,105.5,1030.3,95,13.7,95.6,8.3,4,10,2023-01-25T07:02:59,2023-01-25T16:34:37,0.12,Overcast,Cloudy skies throughout the day.,cloudy,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-26,2,0,1,-1.2,-3.5,-2.5,-2.3,79.6,0.95,100,4.17,"rain,snow",0.2,0.1,47.2,20.2,86.4,1020,96.7,10.2,62.2,5.4,3,10,2023-01-26T07:02:04,2023-01-26T16:35:59,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2023-01-27,0.9,-0.1,0.3,0.1,-3.1,-1.9,0,98.3,5.783,100,16.67,snow,2.8,2.3,24.8,9.2,337,1013.6,99.4,3,22.9,2,1,10,2023-01-27T07:01:07,2023-01-27T16:37:23,0.19,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
